player_id, tag, real_name, nationality, birthday, game_race
1,"Leenock","Dong Nyoung Lee","KR","1995-04-01","Z"
2,"Creator","Hyun Woo Jang","KR","1996-08-19","P"
3,"Life","Seung Hyun Lee","KR","1997-01-11","Z"
4,"DongRaeGu","Soo Ho Park","KR","1991-06-03","Z"
5,"PartinG","Lee Sak Won","KR","1994-08-24","P"
6,"TaeJa","Young Suh Yoon","KR","1995-01-01","T"
7,"Rain","Yoon Jong Jung","KR","1992-08-14","P"
8,"viOLet","Dong Hwan Kim","KR","1990-12-05","Z"
9,"Sniper","Tae Hoon Kwon","KR","1995-01-22","Z"
10,"Stephano","Ilyes Satouri","FR","1993-03-12","Z"
11,"HerO","Hyun Deok Song","KR","1990-06-20","P"
12,"Bomber","Choi Ji Sung","KR","1988-01-16","T"
13,"Mvp","Jong Hyun Jung","KR","1991-02-12","T"
14,"MarineKing","Jung Hoon Lee","KR","1993-07-11","T"
15,"HyuN","Seok Hyun Ko","KR","1988-01-15","Z"
